Title,Genres,Runtime,Production Country,movie_title
https://www.justwatch.com/us/movie/train-to-busan,"Action & Adventure, Horror, Mystery & Thriller",1h 58min,South Korea,Train to Busan
https://www.justwatch.com/us/movie/j-s-a-joint-security-area,"Mystery & Thriller, Action & Adventure, War & Military, Drama",1h 48min,South Korea,Joint Security Area
https://www.justwatch.com/us/movie/the-outlaws,"Mystery & Thriller, Action & Adventure, Crime",2h 1min,South Korea,The Outlaws
https://www.justwatch.com/us/movie/the-man-from-nowhere,"Action & Adventure, Mystery & Thriller, Drama, Crime",1h 54min,South Korea,The Man from Nowhere
https://www.justwatch.com/us/movie/a-taxi-driver,"Action & Adventure, Drama, History",2h 18min,South Korea,A Taxi Driver
https://www.justwatch.com/us/movie/the-gangster-the-cop-the-devil,"Mystery & Thriller, Crime, Action & Adventure",1h 50min,South Korea,"The Gangster, the Cop, the Devil"
https://www.justwatch.com/us/movie/along-with-the-gods-the-two-worlds,"Mystery & Thriller, Action & Adventure, Drama, Fantasy",2h 19min,"Hong Kong, South Korea",Along with the Gods: The Two Worlds
https://www.justwatch.com/us/movie/the-witch-part-1-the-subversion,"Mystery & Thriller, Science-Fiction, Action & Adventure, Made in Europe",2h 5min,South Korea,The Witch: Part 1. The Subversion
https://www.justwatch.com/us/movie/memoir-of-a-murderer,"Mystery & Thriller, Crime, Action & Adventure",1h 58min,South Korea,Memoir of a Murderer
https://www.justwatch.com/us/movie/along-with-the-gods-the-last-49-days,"Mystery & Thriller, Fantasy, Action & Adventure, Drama",2h 22min,"Hong Kong, South Korea",Along with the Gods: The Last 49 Days
https://www.justwatch.com/us/movie/memories-of-the-sword,"Drama, History, Romance, Action & Adventure",2h 1min,South Korea,Memories of the Sword
https://www.justwatch.com/us/movie/the-battle-of-jangsari,"Drama, History, War & Military, Action & Adventure",1h 44min,South Korea,Battle of Jangsari
https://www.justwatch.com/us/movie/insiders,"Crime, Drama, Mystery & Thriller, Action & Adventure",3h 1min,South Korea,Inside Men
https://www.justwatch.com/us/movie/a-company-man,"Drama, Mystery & Thriller, Action & Adventure, Crime",1h 36min,South Korea,A Company Man
https://www.justwatch.com/us/movie/a-violent-prosecutor,"Crime, Comedy, Mystery & Thriller, Action & Adventure",2h 6min,South Korea,A Violent Prosecutor
https://www.justwatch.com/us/movie/the-great-battle,"History, Action & Adventure, War & Military, Drama",2h 16min,South Korea,The Great Battle
https://www.justwatch.com/us/movie/the-divine-fury,"Mystery & Thriller, Action & Adventure, Horror",2h 9min,South Korea,The Divine Fury
https://www.justwatch.com/us/movie/deliver-us-from-evil-2020,"Crime, Action & Adventure, Mystery & Thriller",1h 48min,South Korea,Deliver Us from Evil
https://www.justwatch.com/us/movie/rampant,"Action & Adventure, Horror, Drama, Fantasy, Western, History, Mystery & Thriller",2h 2min,South Korea,Rampant
https://www.justwatch.com/us/movie/luck-key,"Action & Adventure, Comedy, Crime",1h 52min,South Korea,Luck-Key
https://www.justwatch.com/us/movie/spiritwalker,"Action & Adventure, Mystery & Thriller, Fantasy",1h 48min,South Korea,Spiritwalker
https://www.justwatch.com/us/movie/the-swindlers,"Crime, Action & Adventure, Mystery & Thriller",1h 57min,South Korea,The Swindlers
https://www.justwatch.com/us/movie/a-special-lady,"Crime, Action & Adventure",1h 31min,South Korea,A Special Lady
https://www.justwatch.com/us/movie/war-of-the-arrows,"Drama, Action & Adventure, History",2h 2min,"United States, South Korea",War of the Arrows
