URL,title,type,act,cmy,crm,doc,drm,eur,fml,fnt,hrr,hst,msc,rma,scf,spt,trl,war,wsn,ani,rly
https://www.justwatch.com/us/movie/train-to-busan,train-to-busan,movies,1,,,,,,,,1,,,,,,1,,,,
https://www.justwatch.com/us/movie/j-s-a-joint-security-area,j-s-a-joint-security-area,movies,1,,,,1,,,,,,,,,,1,1,,,
https://www.justwatch.com/us/movie/the-outlaws,the-outlaws,movies,1,,1,,,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/the-man-from-nowhere,the-man-from-nowhere,movies,1,,1,,1,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/a-taxi-driver,a-taxi-driver,movies,1,,,,1,,,,,1,,,,,,,,,
https://www.justwatch.com/us/movie/the-gangster-the-cop-the-devil,the-gangster-the-cop-the-devil,movies,1,,1,,,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/along-with-the-gods-the-two-worlds,along-with-the-gods-the-two-worlds,movies,1,,,,1,,,1,,,,,,,1,,,,
https://www.justwatch.com/us/movie/the-witch-part-1-the-subversion,the-witch-part-1-the-subversion,movies,1,,,,,1,,,,,,,1,,1,,,,
https://www.justwatch.com/us/movie/memoir-of-a-murderer,memoir-of-a-murderer,movies,1,,1,,,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/along-with-the-gods-the-last-49-days,along-with-the-gods-the-last-49-days,movies,1,,,,1,,,1,,,,,,,1,,,,
https://www.justwatch.com/us/movie/memories-of-the-sword,memories-of-the-sword,movies,1,,,,1,,,,,1,,1,,,,,,,
https://www.justwatch.com/us/movie/the-battle-of-jangsari,the-battle-of-jangsari,movies,1,,,,1,,,,,1,,,,,,1,,,
https://www.justwatch.com/us/movie/insiders,insiders,movies,1,,1,,1,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/a-company-man,a-company-man,movies,1,,1,,1,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/a-violent-prosecutor,a-violent-prosecutor,movies,1,1,1,,,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/the-great-battle,the-great-battle,movies,1,,,,1,,,,,1,,,,,,1,,,
https://www.justwatch.com/us/movie/the-divine-fury,the-divine-fury,movies,1,,,,,,,,1,,,,,,1,,,,
https://www.justwatch.com/us/movie/deliver-us-from-evil-2020,deliver-us-from-evil-2020,movies,1,,1,,,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/rampant,rampant,movies,1,,,,1,,,1,1,1,,,,,1,,1,,
https://www.justwatch.com/us/movie/luck-key,luck-key,movies,1,1,1,,,,,,,,,,,,,,,,
https://www.justwatch.com/us/movie/spiritwalker,spiritwalker,movies,1,,,,,,,1,,,,,,,1,,,,
https://www.justwatch.com/us/movie/the-swindlers,the-swindlers,movies,1,,1,,,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/a-special-lady,a-special-lady,movies,1,,1,,,,,,,,,,,,,,,,
https://www.justwatch.com/us/movie/war-of-the-arrows,war-of-the-arrows,movies,1,,,,1,,,,,1,,,,,,,,,
https://www.justwatch.com/us/movie/tunnel,tunnel,movies,1,,,,1,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/assassination,assassination,movies,1,,,,1,,,,,,,,,,1,,,,
https://www.justwatch.com/us/movie/haunters-2010,haunters-2010,movies,1,,,,,,,,,,,,1,,1,,,,
